segmento,data,real,previsto
Todos,2025-12-18,1005,818.5
Todos,2025-12-19,839,845.9
Todos,2025-12-20,984,795.4
Todos,2025-12-21,1104,805.6
Todos,2025-12-22,1370,933.5
Todos,2025-12-23,1122,887.9
Todos,2025-12-24,929,882.8
Todos,2025-12-25,704,821.6
Todos,2025-12-26,910,866.9
Todos,2025-12-27,1027,796.5
Todos,2025-12-28,829,816.5
Todos,2025-12-29,921,909.5
Todos,2025-12-30,866,868.2
Todos,2025-12-31,755,867.1
produto:lsin,2025-12-18,461,556.8
produto:lsin,2025-12-19,340,368.1
produto:lsin,2025-12-20,453,355.6
produto:lsin,2025-12-21,523,380.4
produto:lsin,2025-12-22,444,474.2
produto:lsin,2025-12-23,364,384.6
produto:lsin,2025-12-24,292,373.0
produto:lsin,2025-12-25,229,367.3
produto:lsin,2025-12-26,346,364.3
produto:lsin,2025-12-27,330,356.9
produto:lsin,2025-12-28,305,367.6
produto:lsin,2025-12-29,300,347.3
produto:lsin,2025-12-30,290,334.8
produto:lsin,2025-12-31,299,318.5
produto:lhco,2025-12-18,316,270.4
produto:lhco,2025-12-19,332,280.0
produto:lhco,2025-12-20,375,282.8
produto:lhco,2025-12-21,414,285.2
produto:lhco,2025-12-22,657,295.2
produto:lhco,2025-12-23,560,295.0
produto:lhco,2025-12-24,526,287.1
produto:lhco,2025-12-25,410,279.6
produto:lhco,2025-12-26,456,280.1
produto:lhco,2025-12-27,541,279.9
produto:lhco,2025-12-28,406,280.6
produto:lhco,2025-12-29,505,295.2
produto:lhco,2025-12-30,500,295.0
produto:lhco,2025-12-31,371,281.3
produto:lcem,2025-12-18,15,26.2
produto:lcem,2025-12-19,11,32.2
produto:lcem,2025-12-20,11,11.5
produto:lcem,2025-12-21,2,7.0
produto:lcem,2025-12-22,11,23.7
produto:lcem,2025-12-23,9,28.4
produto:lcem,2025-12-24,4,25.7
produto:lcem,2025-12-25,9,31.0
produto:lcem,2025-12-26,5,30.2
produto:lcem,2025-12-27,1,12.9
produto:lcem,2025-12-28,4,7.8
produto:lcem,2025-12-29,4,26.9
produto:lcem,2025-12-30,0,32.0
produto:lcem,2025-12-31,0,35.6
produto:lsaa,2025-12-18,8,14.8
produto:lsaa,2025-12-19,7,20.3
produto:lsaa,2025-12-20,8,21.4
produto:lsaa,2025-12-21,7,21.2
produto:lsaa,2025-12-22,5,21.6
produto:lsaa,2025-12-23,14,21.4
produto:lsaa,2025-12-24,9,20.9
produto:lsaa,2025-12-25,6,20.8
produto:lsaa,2025-12-26,12,20.9
produto:lsaa,2025-12-27,8,21.0
produto:lsaa,2025-12-28,5,20.7
produto:lsaa,2025-12-29,8,21.4
produto:lsaa,2025-12-30,9,21.3
produto:lsaa,2025-12-31,10,20.9
produto:lhvp,2025-12-18,32,20.8
produto:lhvp,2025-12-19,38,29.4
produto:lhvp,2025-12-20,6,25.6
produto:lhvp,2025-12-21,5,5.3
produto:lhvp,2025-12-22,5,35.3
produto:lhvp,2025-12-23,46,55.8
produto:lhvp,2025-12-24,7,37.6
produto:lhvp,2025-12-25,3,18.9
produto:lhvp,2025-12-26,4,26.9
produto:lhvp,2025-12-27,6,39.2
produto:lhvp,2025-12-28,4,38.4
produto:lhvp,2025-12-29,9,92.6
produto:lhvp,2025-12-30,7,103.3
produto:lhvp,2025-12-31,2,105.2
prioridade:2 - Alta,2025-12-18,101,96.6
prioridade:2 - Alta,2025-12-19,34,114.8
prioridade:2 - Alta,2025-12-20,64,73.3
prioridade:2 - Alta,2025-12-21,32,62.0
prioridade:2 - Alta,2025-12-22,181,106.2
prioridade:2 - Alta,2025-12-23,83,106.0
prioridade:2 - Alta,2025-12-24,35,101.3
prioridade:2 - Alta,2025-12-25,20,96.3
prioridade:2 - Alta,2025-12-26,34,126.7
prioridade:2 - Alta,2025-12-27,53,71.2
prioridade:2 - Alta,2025-12-28,46,61.4
prioridade:2 - Alta,2025-12-29,57,107.9
prioridade:2 - Alta,2025-12-30,29,94.4
prioridade:2 - Alta,2025-12-31,15,165.6
prioridade:3 - Média,2025-12-18,300,236.0
prioridade:3 - Média,2025-12-19,358,240.5
prioridade:3 - Média,2025-12-20,339,156.0
prioridade:3 - Média,2025-12-21,434,155.6
prioridade:3 - Média,2025-12-22,624,282.6
prioridade:3 - Média,2025-12-23,565,261.8
prioridade:3 - Média,2025-12-24,516,255.5
prioridade:3 - Média,2025-12-25,379,251.6
prioridade:3 - Média,2025-12-26,420,256.2
prioridade:3 - Média,2025-12-27,502,169.5
prioridade:3 - Média,2025-12-28,391,168.8
prioridade:3 - Média,2025-12-29,515,283.3
prioridade:3 - Média,2025-12-30,468,261.8
prioridade:3 - Média,2025-12-31,372,257.1
prioridade:4 - Baixa,2025-12-18,604,653.6
prioridade:4 - Baixa,2025-12-19,446,502.1
prioridade:4 - Baixa,2025-12-20,581,492.7
prioridade:4 - Baixa,2025-12-21,638,541.5
prioridade:4 - Baixa,2025-12-22,565,524.6
prioridade:4 - Baixa,2025-12-23,474,499.3
prioridade:4 - Baixa,2025-12-24,378,483.0
prioridade:4 - Baixa,2025-12-25,305,489.0
prioridade:4 - Baixa,2025-12-26,456,465.0
prioridade:4 - Baixa,2025-12-27,472,522.6
prioridade:4 - Baixa,2025-12-28,392,509.6
prioridade:4 - Baixa,2025-12-29,349,469.6
prioridade:4 - Baixa,2025-12-30,369,461.4
prioridade:4 - Baixa,2025-12-31,368,439.6
